"","Name","TotalAREDV","MeanAREDV","SDAREDV","IQRAREDV"
"1","ShootingsPBIR",11363,1.28495289260936,4.51460948006809,1.44315778105408
"2","THCICPBIR",358900,92.955192955193,51.8752498167545,38.0060472919291
"3","THCICBlack",127336,37.3638497652582,1297.9156046589,119.870855335409
"4","THCICHispanic",122738,32.8352059925094,50.6394034411939,26.9971421989321
"5","THCICWhite",83838,22.0452274520116,783.810579606266,12.4849251231421
"6","THCICPeds",171770,44.8368572174367,70.9167815540044,70.8874090662865
"7","THCICBlackPeds",56999,19.7023850674041,1062.6453274588,261.172927672714
"8","THCICHispanicPeds",69374,19.3296182780719,119.426410041233,53.5627180968819
"9","THCICWhitePeds",31922,9.07906712172924,45.4521732872639,22.7416972082434
"10","THCICAdult",187128,48.554229372081,51.0973445270602,27.3768745308247
"11","THCICBlackAdult",69671,21.8884699968583,1452.41315558368,89.7620631050026
"12","THCICHispanicAdult",53362,14.9767050238563,82.2694003337963,21.1010816544657
"13","THCICWhiteAdult",51916,13.9784598815293,793.213555474831,11.1715718129585
